variable,Survived,Died,MeanDecreaseAccuracy,MeanDecreaseGini
AGE,1.5524257659108451,-0.21783675248618645,1.0172122279719253,1.6294846440191517
HT,8.300496191145331,11.792542463517261,13.012707826852404,3.7150919539187863
Sex,3.144837470691456,2.052140213709269,3.7298024503383176,0.3173262132425224
SHOCK_TYP,9.512015920084991,10.695824170893067,13.942164065300398,3.91062354159663
SBP,17.5851625523903,16.606283982564747,22.457986040007505,9.205408393686307
MAP,26.243921978769585,30.061890328212485,36.23158482548877,14.213043451108812
HR,2.481065972065301,-2.207053466269019,0.7008114087217729,2.02306100775762
DBP,17.609345675905885,22.286089204266027,25.78611250493298,10.30232789289599
MCVP,15.248354253059249,21.044318133225307,22.948230161335047,6.882480336144965
BSI,2.166972801348096,3.92045709251355,4.20239681955197,3.084654429325187
CI,4.822340726490118,5.88202838875728,7.735906918572434,3.084622863154155
AT,5.447427859067975,-0.35512094359371466,4.424849906793288,2.1583035508220516
MCT,12.074883407775381,6.534965784856765,13.303133179011931,3.4823692831933926
UO,12.416388780275579,29.64631139044647,29.10933471908675,7.741299799799645
PVI,7.68521992433264,5.467900886033953,9.328249532975535,2.6813505486247267
RCI,5.522278919166798,-1.177601644100379,3.8226478435062035,2.1479594639693196
HG,8.705559975485773,-2.647824697605572,5.872652817426183,2.5523466881507133
HCT,7.55846366899886,-2.0042855471978602,4.996984335310788,2.1372299616145267
RECORD,2.118860974204304,-0.37820793957310717,1.2560110445979478,0.2947687859643499
