predictor,term,estimate,std.error,statistic,p.value
AGE,AGE,0.016080026529184166,0.012125751900293198,1.3261055200045249,0.1848047479833935
HT,HT,-0.028991518927745524,0.01874639782688493,-1.5465114522517853,0.12198109642631383
Sex,SexFemale,0.8062507504928572,0.3967234608375137,2.032273939108113,0.042125931233831494
SHOCK_TYP,SHOCK_TYPHypovolemic-shock,2.6920496900914817,0.7799072483797513,3.4517562129140162,5.569506953012776e-4
SHOCK_TYP,SHOCK_TYPCardiogenic-shock,2.3353747461527474,0.7519296338547216,3.105842144005671,0.0018973797544994619
SHOCK_TYP,SHOCK_TYPBacterial-shock,1.9299096380445855,0.8019825116414624,2.406423594068818,0.016109573441811534
SHOCK_TYP,SHOCK_TYPNeurogenic-shock,2.084060317871842,0.7869983660462863,2.648112636296466,0.008094255166566018
SHOCK_TYP,SHOCK_TYPOther,3.1826726065387816,0.9173811583652163,3.4693023477943896,5.218118595934812e-4
SBP,SBP,-0.027449683483007227,0.007622155482597836,-3.601301960538285,3.166275646525473e-4
MAP,MAP,-0.04028825959633922,0.010940792837076045,-3.682389402330221,2.310581176236406e-4
HR,HR,0.006818114284899258,0.006650958400076817,1.0251326011632413,0.3053006246669515
DBP,DBP,-0.04354346470824014,0.012722742424129688,-3.4224904707381727,6.205027277803829e-4
MCVP,MCVP,0.010115146813821517,0.0037480112078425564,2.698803779630113,0.006958919374265257
BSI,BSI,-0.026099367963515144,0.011363290748080271,-2.296814236485536,0.021629369076323776
CI,CI,-0.0016404674226448272,0.0014084131143931218,-1.1647629561811461,0.24411495742481107
AT,AT,0.0037437448686528005,0.003988706545129277,0.9385861873504818,0.34794324726224723
MCT,MCT,0.003311093799387067,0.0018811593315711563,1.7601346913137976,0.07838497200271849
UO,UO,-0.009711783706761847,0.004104382375014536,-2.3661985700656,0.017971802325580592
PVI,PVI,-7.445769012801299e-4,0.0013075661838657395,-0.5694372571481114,0.5690594388597812
RCI,RCI,-0.00295709637307249,0.0028181111911721036,-1.049318558591927,0.29403152725959847
HG,HG,-0.004361275755849394,0.007822680775599245,-0.557516774742135,0.5771744012297271
HCT,HCT,-0.0012218913558561867,0.0025432000584112734,-0.48045428113881733,0.6309044048155514
